Id_Cliente,Id_Transportador,Nota Fiscal,Qtd Volumes,Valor Nota Fiscal,Prazo Contratado,Data Expedição,Data Entrega,Ocorrência de Entrega
259,15,1,17,2545.32,27,2023-11-19,2023-12-17,Entrega com Avaria
45,5,2,8,2203.89,1,2023-06-09,2023-07-02,Sem Ocorrência
321,2,3,28,752.51,27,2023-06-02,2023-06-03,Sem Ocorrência
52,12,4,1,1163.88,8,2023-01-10,2023-02-08,Entrega com Avaria
208,1,5,5,3381.4,40,2023-01-15,2023-01-17,Sem Ocorrência
37,13,6,29,4404.91,24,2023-04-04,2023-04-29,Entrega com Avaria
267,6,7,25,3130.24,22,2023-09-13,2023-09-25,Entrega com Avaria
70,12,8,4,4848.54,12,2023-03-07,2023-03-24,Entrega com Avaria
57,7,9,10,1364.51,4,2023-02-26,2023-03-10,Sem Ocorrência
81,13,10,38,1290.94,14,2023-08-31,2023-09-20,Sem Ocorrência
351,4,11,38,3305.99,8,2023-01-07,2023-02-01,Entrega com Avaria
121,4,12,23,3180.93,16,2023-01-14,2023-01-20,Entrega com Avaria
135,8,13,47,398.23,1,2023-08-14,2023-09-02,Sem Ocorrência
322,13,14,41,271.56,26,2023-01-11,2023-02-04,Sem Ocorrência
456,6,15,40,2591.21,33,2023-10-03,2023-10-26,Entrega com Avaria
180,15,16,6,3420.21,5,2023-03-23,2023-04-19,Sem Ocorrência
23,1,17,3,2871.88,33,2023-10-14,2023-11-13,Entrega com Avaria
47,7,18,46,2409.13,28,2023-02-23,2023-02-27,Entrega com Avaria
213,16,19,26,3518.63,3,2023-11-03,2023-11-16,Sem Ocorrência
147,9,20,22,3714.12,11,2023-02-21,2023-03-22,Entrega com Avaria
389,7,21,37,1150.07,23,2023-12-18,2023-12-29,Entrega com Avaria
1,5,22,7,3656.67,37,2023-11-16,2023-12-02,Sem Ocorrência
178,14,23,3,83.46,16,2023-05-11,2023-05-21,Entrega com Avaria
77,14,24,46,349.58,21,2023-10-20,2023-11-13,Entrega com Avaria
456,14,25,36,58.58,27,2023-09-11,2023-10-10,Entrega com Avaria
365,4,26,17,2420.09,36,2023-12-20,2023-12-27,Entrega com Avaria
159,10,27,17,1669.75,16,2023-10-30,2023-11-25,Sem Ocorrência
496,15,28,2,1957.97,9,2023-07-11,2023-08-01,Entrega com Avaria
228,7,29,35,1769.54,17,2023-07-09,2023-07-26,Entrega com Avaria
390,11,30,16,2744.97,8,2023-01-03,2023-01-08,Sem Ocorrência
477,13,31,18,1420.54,39,2023-07-12,2023-07-14,Sem Ocorrência
94,8,32,23,1434.86,15,2023-07-26,2023-08-18,Entrega com Avaria
263,13,33,29,2604.94,30,2023-03-30,2023-04-11,Entrega com Avaria
392,1,34,45,4458.42,7,2023-08-14,2023-09-06,Sem Ocorrência
111,1,35,48,2062.76,38,2023-03-20,2023-03-27,Sem Ocorrência
86,8,36,37,4836.57,10,2023-05-04,2023-06-03,Entrega com Avaria
425,2,37,16,1617.6,32,2023-02-06,2023-03-08,Entrega com Avaria
424,8,38,10,3449.35,24,2023-08-14,2023-08-24,Sem Ocorrência
275,7,39,16,1890.19,27,2023-01-11,2023-02-09,Entrega com Avaria
208,14,40,18,3460.91,23,2023-09-02,2023-09-29,Sem Ocorrência
116,7,41,35,3754.91,33,2023-12-23,2023-12-27,Entrega com Avaria
425,8,42,11,657.05,34,2023-05-06,2023-06-04,Entrega com Avaria
329,11,43,6,3554.31,26,2023-03-13,2023-04-09,Sem Ocorrência
326,14,44,50,3799.76,25,2023-07-08,2023-07-10,Entrega com Avaria
46,3,45,26,4043.57,14,2023-07-06,2023-07-26,Sem Ocorrência
320,10,46,5,3272.29,17,2023-11-01,2023-11-04,Entrega com Avaria
464,11,47,7,2970.65,37,2023-08-10,2023-09-04,Entrega com Avaria
